variable,section,kind
REGIONC,GEOGRAPHY,categorical
DIVISION,GEOGRAPHY,categorical
STATE_FIPS,GEOGRAPHY,categorical
state_postal,GEOGRAPHY,categorical
state_name,GEOGRAPHY,categorical
BA_climate,ADMIN,categorical
IECC_climate_code,ADMIN,categorical
UATYP10,ADMIN,categorical
HDD65,WEATHER,numerical
CDD65,WEATHER,numerical
HDD30YR_PUB,WEATHER,numerical
CDD30YR_PUB,WEATHER,numerical
TYPEHUQ,YOUR HOME,categorical
CELLAR,YOUR HOME,boolean
CRAWL,YOUR HOME,boolean
CONCRETE,YOUR HOME,boolean
BASEOTH,YOUR HOME,boolean
BASEFIN,YOUR HOME,boolean
ATTIC,YOUR HOME,boolean
ATTICFIN,YOUR HOME,boolean
STORIES,YOUR HOME,categorical
PRKGPLC1,YOUR HOME,boolean
SIZEOFGARAGE,YOUR HOME,ordinal
KOWNRENT,YOUR HOME,categorical
YEARMADERANGE,YOUR HOME,ordinal
BEDROOMS,YOUR HOME,numerical
NCOMBATH,YOUR HOME,numerical
NHAFBATH,YOUR HOME,numerical
OTHROOMS,YOUR HOME,numerical
TOTROOMS,YOUR HOME,numerical
STUDIO,YOUR HOME,boolean
WALLTYPE,YOUR HOME,categorical
ROOFTYPE,YOUR HOME,categorical
HIGHCEIL,YOUR HOME,boolean
DOOR1SUM,YOUR HOME,numerical
WINDOWS,YOUR HOME,ordinal
TYPEGLASS,YOUR HOME,ordinal
ORIGWIN,YOUR HOME,boolean
WINFRAME,YOUR HOME,categorical
TREESHAD,YOUR HOME,boolean
ADQINSUL,YOUR HOME,ordinal
DRAFTY,YOUR HOME,ordinal
UGASHERE,YOUR HOME,boolean
SWIMPOOL,YOUR HOME,boolean
MONPOOL,YOUR HOME,numerical
POOLPUMP,YOUR HOME,boolean
FUELPOOL,YOUR HOME,categorical
RECBATH,YOUR HOME,boolean
MONTUB,YOUR HOME,numerical
FUELTUB,YOUR HOME,categorical
NUMFRIG,APPLIANCES,numerical
SIZRFRI1,APPLIANCES,ordinal
TYPERFR1,APPLIANCES,categorical
AGERFRI1,APPLIANCES,ordinal
ICE,APPLIANCES,boolean
SIZRFRI2,APPLIANCES,ordinal
TYPERFR2,APPLIANCES,categorical
AGERFRI2,APPLIANCES,ordinal
LOCRFRI2,APPLIANCES,categorical
WINECHILL,APPLIANCES,boolean
NUMFREEZ,APPLIANCES,numerical
UPRTFRZR,APPLIANCES,categorical
SIZFREEZ,APPLIANCES,ordinal
FREEZER,APPLIANCES,categorical
AGEFRZR,APPLIANCES,ordinal
RANGE,APPLIANCES,numerical
COOKTOP,APPLIANCES,numerical
OVEN,APPLIANCES,numerical
RANGEFUEL,APPLIANCES,categorical
RANGEINDT,APPLIANCES,boolean
RCOOKUSE,APPLIANCES,numerical
ROVENUSE,APPLIANCES,numerical
COOKTOPFUEL,APPLIANCES,categorical
COOKTOPINDT,APPLIANCES,boolean
COOKTOPUSE,APPLIANCES,numerical
OVENFUEL,APPLIANCES,categorical
OVENUSE,APPLIANCES,numerical
MICRO,APPLIANCES,numerical
AMTMICRO,APPLIANCES,numerical
OUTGRILLFUEL,APPLIANCES,categorical
OUTGRILL,APPLIANCES,boolean
NUMMEAL,APPLIANCES,ordinal
USECOFFEE,APPLIANCES,ordinal
TOAST,APPLIANCES,boolean
